2025-06-15 15:31:37 | DEBUG    | __main__:772 | --- 预言家行动已收集 ---
2025-06-15 15:31:37 | DEBUG    | __main__:777 | 预言家5  查验 4
2025-06-15 15:31:38 | DEBUG    | __main__:796 | 执行环境.step, 夜晚行动: {'1': 5, '0': array([2]), '2': 6, '3': 6, '4': 6, '5': array([4])}
2025-06-15 15:31:38 | DEBUG    | __main__:798 | 环境.step 完成, 存活: [0, 1, 2, 3, 4]
2025-06-15 15:31:38 | DEBUG    | __main__:805 | 检查最近5个事件
2025-06-15 15:31:38 | DEBUG    | __main__:807 | 事件内容: {'day': 0, 'phase': 'seer_check', 'seer': 5, 'target': 4, 'role': 1, 'alive': [0, 1, 2, 3, 4, 5]}
2025-06-15 15:31:38 | DEBUG    | __main__:807 | 事件内容: {'day': 0, 'phase': 'night', 'victim': 5, 'alive': [0, 1, 2, 3, 4]}
2025-06-15 15:31:39 | DEBUG    | __main__:985 | 发言阶段开始: day=1, current_speaker=0
2025-06-15 15:31:40 | DEBUG    | __main__:985 | 发言阶段开始: day=1, current_speaker=1
2025-06-15 15:31:45 | DEBUG    | __main__:985 | 发言阶段开始: day=1, current_speaker=2
2025-06-15 15:31:46 | DEBUG    | __main__:985 | 发言阶段开始: day=1, current_speaker=3
2025-06-15 15:31:47 | DEBUG    | __main__:985 | 发言阶段开始: day=1, current_speaker=4
2025-06-15 15:31:52 | DEBUG    | __main__:1109 | --- 投票动作 ---
2025-06-15 15:31:52 | DEBUG    | __main__:1111 | 玩家1  → 弃票
2025-06-15 15:31:52 | DEBUG    | __main__:1111 | 玩家0  → 2
2025-06-15 15:31:52 | DEBUG    | __main__:1111 | 玩家2  → 0
2025-06-15 15:31:52 | DEBUG    | __main__:1111 | 玩家3  → 0
2025-06-15 15:31:52 | DEBUG    | __main__:1111 | 玩家4  → 0
2025-06-15 15:31:52 | DEBUG    | __main__:1117 | 票数统计: [3, 0, 1, 0, 0, 0]
2025-06-15 15:32:54 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:32:54] "GET /socket.io/?EIO=4&transport=websocket&sid=Jnhm-wIqMUzZKYwUAAAA HTTP/1.1" 200 -
2025-06-15 15:33:21 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:33:21] "GET /socket.io/?EIO=4&transport=websocket&sid=SgecpgIdIBT5iiLEAAAG HTTP/1.1" 200 -
2025-06-15 15:35:05 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:35:05] "GET / HTTP/1.1" 200 -
2025-06-15 15:35:08 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:35:08] "GET /socket.io/?EIO=4&transport=polling&t=PToWtYg HTTP/1.1" 200 -
2025-06-15 15:35:08 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:35:08] "POST /socket.io/?EIO=4&transport=polling&t=PToWtYs&sid=AhWeTiUoJeD3jZWiAAAI HTTP/1.1" 200 -
2025-06-15 15:35:08 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:35:08] "GET /socket.io/?EIO=4&transport=polling&t=PToWtYu&sid=AhWeTiUoJeD3jZWiAAAI HTTP/1.1" 200 -
2025-06-15 15:35:11 | DEBUG    | __main__:772 | --- 预言家行动已收集 ---
2025-06-15 15:35:11 | DEBUG    | __main__:777 | 预言家3  查验 5
2025-06-15 15:35:12 | DEBUG    | __main__:796 | 执行环境.step, 夜晚行动: {'1': array([0]), '4': array([0]), '0': 6, '2': 6, '3': array([5]), '5': 6}
2025-06-15 15:35:12 | DEBUG    | __main__:798 | 环境.step 完成, 存活: [1, 2, 3, 4, 5]
2025-06-15 15:35:12 | DEBUG    | __main__:805 | 检查最近5个事件
2025-06-15 15:35:12 | DEBUG    | __main__:807 | 事件内容: {'day': 0, 'phase': 'seer_check', 'seer': 3, 'target': 5, 'role': 1, 'alive': [0, 1, 2, 3, 4, 5]}
2025-06-15 15:35:12 | DEBUG    | __main__:807 | 事件内容: {'day': 0, 'phase': 'night', 'victim': 0, 'alive': [1, 2, 3, 4, 5]}
2025-06-15 15:35:13 | DEBUG    | __main__:985 | 发言阶段开始: day=1, current_speaker=0
2025-06-15 15:35:14 | DEBUG    | __main__:985 | 发言阶段开始: day=1, current_speaker=1
2025-06-15 15:35:16 | DEBUG    | __main__:985 | 发言阶段开始: day=1, current_speaker=2
2025-06-15 15:35:17 | DEBUG    | __main__:985 | 发言阶段开始: day=1, current_speaker=3
2025-06-15 15:35:18 | DEBUG    | __main__:985 | 发言阶段开始: day=1, current_speaker=4
2025-06-15 15:35:19 | DEBUG    | __main__:985 | 发言阶段开始: day=1, current_speaker=5
2025-06-15 15:35:20 | DEBUG    | __main__:1109 | --- 投票动作 ---
2025-06-15 15:35:20 | DEBUG    | __main__:1111 | 玩家1  → 2
2025-06-15 15:35:20 | DEBUG    | __main__:1111 | 玩家2  → 1
2025-06-15 15:35:20 | DEBUG    | __main__:1111 | 玩家3  → 1
2025-06-15 15:35:20 | DEBUG    | __main__:1111 | 玩家4  → 2
2025-06-15 15:35:20 | DEBUG    | __main__:1111 | 玩家5  → 1
2025-06-15 15:35:20 | DEBUG    | __main__:1117 | 票数统计: [0, 3, 2, 0, 0, 0]
2025-06-15 15:35:22 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:35:22] "GET /socket.io/?EIO=4&transport=websocket&sid=AhWeTiUoJeD3jZWiAAAI HTTP/1.1" 200 -
2025-06-15 15:35:25 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:35:25] "GET /socket.io/?EIO=4&transport=polling&t=PToWxk0 HTTP/1.1" 200 -
2025-06-15 15:35:25 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:35:25] "POST /socket.io/?EIO=4&transport=polling&t=PToWxkC&sid=tKb1RV9TDzfBLWWTAAAK HTTP/1.1" 200 -
2025-06-15 15:35:25 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:35:25] "GET /socket.io/?EIO=4&transport=polling&t=PToWxkD&sid=tKb1RV9TDzfBLWWTAAAK HTTP/1.1" 200 -
2025-06-15 15:35:25 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:35:25] "GET /socket.io/?EIO=4&transport=polling&t=PToWxl7&sid=tKb1RV9TDzfBLWWTAAAK HTTP/1.1" 200 -
2025-06-15 15:35:28 | DEBUG    | human_ai_game:423 | AI狼人2(玩家3) -> 3
2025-06-15 15:35:31 | DEBUG    | __main__:772 | --- 预言家行动已收集 ---
2025-06-15 15:35:31 | DEBUG    | __main__:777 | 预言家4  查验 1
2025-06-15 15:35:31 | DEBUG    | __main__:796 | 执行环境.step, 夜晚行动: {'0': 1, '2': array([3]), '1': 6, '3': 6, '4': array([1]), '5': 6}
2025-06-15 15:35:31 | DEBUG    | __main__:798 | 环境.step 完成, 存活: [0, 1, 2, 4, 5]
2025-06-15 15:35:31 | DEBUG    | __main__:805 | 检查最近5个事件
2025-06-15 15:35:31 | DEBUG    | __main__:807 | 事件内容: {'day': 0, 'phase': 'seer_check', 'seer': 4, 'target': 1, 'role': 1, 'alive': [0, 1, 2, 3, 4, 5]}
2025-06-15 15:35:31 | DEBUG    | __main__:807 | 事件内容: {'day': 0, 'phase': 'night', 'victim': 3, 'alive': [0, 1, 2, 4, 5]}
2025-06-15 15:35:33 | DEBUG    | __main__:985 | 发言阶段开始: day=1, current_speaker=0
2025-06-15 15:35:35 | DEBUG    | __main__:985 | 发言阶段开始: day=1, current_speaker=1
2025-06-15 15:35:36 | DEBUG    | __main__:985 | 发言阶段开始: day=1, current_speaker=2
2025-06-15 15:35:37 | DEBUG    | __main__:985 | 发言阶段开始: day=1, current_speaker=4
2025-06-15 15:35:37 | DEBUG    | __main__:985 | 发言阶段开始: day=1, current_speaker=5
2025-06-15 15:35:39 | DEBUG    | __main__:1109 | --- 投票动作 ---
2025-06-15 15:35:39 | DEBUG    | __main__:1111 | 玩家0  → 弃票
2025-06-15 15:35:39 | DEBUG    | __main__:1111 | 玩家1  → 0
2025-06-15 15:35:39 | DEBUG    | __main__:1111 | 玩家2  → 1
2025-06-15 15:35:39 | DEBUG    | __main__:1111 | 玩家4  → 0
2025-06-15 15:35:39 | DEBUG    | __main__:1111 | 玩家5  → 0
2025-06-15 15:35:39 | DEBUG    | __main__:1117 | 票数统计: [3, 1, 0, 0, 0, 0]
2025-06-15 15:35:42 | DEBUG    | __main__:772 | --- 预言家行动已收集 ---
2025-06-15 15:35:42 | DEBUG    | __main__:777 | 预言家4  查验 5
2025-06-15 15:35:43 | DEBUG    | __main__:796 | 执行环境.step, 夜晚行动: {'2': array([1]), '1': 6, '4': array([5]), '5': 6}
2025-06-15 15:35:43 | DEBUG    | __main__:798 | 环境.step 完成, 存活: [2, 4, 5]
2025-06-15 15:35:43 | DEBUG    | __main__:805 | 检查最近5个事件
2025-06-15 15:35:43 | DEBUG    | __main__:807 | 事件内容: {'day': 1, 'phase': 'talk', 'speaker': 5, 'type': 0, 'target': -1, 'alive': [0, 1, 2, 4, 5]}
